sample_ID	genus	species	sex	population	batch	temperature	climate_cabinet	rack_ID	positional_ID	emergence_date	julian_emergence_date	emergence_weight	emergence_condition	emergence_status	life_stage	length	width	week0	week1	week2	week3	week4	week5	week6	week7	week8	week9	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21
GB-2	Osmia	O. bicornis	female	Greifswald	weighing	SSP5-8.5	F	3	1	2023-03-18	77	88.5	alive	emerged	adult	12.492786101525118	6.668256670901566	106.13999999999989	103.8599999999999	102.66999999999985	101.84999999999992	101.38999999999989	101.19999999999982	100.56999999999994	99.56999999999994	99.49999999999976	97.9599999999998	97.41999999999985	96.52999999999996	95.53999999999996	94.26999999999975	93.49999999999976	91.9599999999998	NA	NA	NA	NA	NA	NA
GB-4	Osmia	O. bicornis	male	Greifswald	weighing	SSP5-8.5	F	24	1	2023-03-09	68	46.3599999999999	alive	emerged	adult	9.76969452188236	4.989790854848821	52.75	51.44999999999982	51.23999999999978	50.83999999999992	50.7199999999998	50.659999999999854	50.37999999999988	50.13999999999987	50.07999999999993	49.69999999999982	49.22999999999979	48.87999999999988	48.49000000000001	47.769999999999754	47.23999999999978	NA	NA	NA	NA	NA	NA	NA
GB-6	Osmia	O. bicornis	male	Greifswald	weighing	control	C	25	1	2023-04-10	100	64.00999999999999	alive	emerged	adult	10.410197696808742	5.737957384871047	69.75	69.16999999999985	68.9699999999998	68.4699999999998	68.42999999999984	68.27999999999975	68.22999999999979	68.38999999999987	68.19999999999982	67.95999999999981	67.98999999999978	67.8599999999999	67.47999999999979	67.65999999999985	67.20999999999981	67.05999999999995	67.01999999999998	66.37999999999988	66.17999999999984	NA	NA	NA
GB-7	Osmia	O. bicornis	female	Greifswald	weighing	SSP5-8.5	F	6	1	2023-03-18	77	94.49	alive	emerged	adult	12.641578679630223	6.548467860065382	110.90000000000008	109.25	108.27999999999996	107.33000000000015	107.02999999999996	107.05999999999996	106.49	105.5	105.38000000000012	103.88000000000012	103.37000000000012	102.55999999999996	101.48000000000002	100.46000000000004	99.55999999999996	98.49	NA	NA	NA	NA	NA	NA
GB-8	Osmia	O. bicornis	female	Greifswald	weighing	control	C	7	1	2023-04-19	109	100.49	alive	emerged	adult	12.371290567431478	6.692380660193466	110.52999999999996	109.43000000000006	108.92000000000009	108.62999999999988	108.40000000000008	108.13999999999989	107.8599999999999	107.75	107.73000000000002	107.18000000000006	107.09999999999992	107.37000000000012	106.65999999999984	106.31999999999994	106.13999999999989	105.77999999999996	105.48000000000002	104.82999999999991	104.44000000000004	103.06999999999994	NA	NA
GB-10	Osmia	O. bicornis	male	Greifswald	other	SSP5-8.5	F	27	1	2023-03-08	67	67.16000000000008	alive	emerged	adult	10.603730054012312	5.668345535930209	75.84000000000015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GB-12	Osmia	O. bicornis	female	Greifswald	weighing	SSP5-8.5	F	9	1	2023-03-17	76	81.21000000000004	alive	emerged	adult	11.50705109581077	6.21598674616492	93.51	92.31999999999994	91.43000000000006	90.66000000000008	90.24	90.28999999999996	89.86000000000013	89.12000000000012	88.94000000000005	87.60000000000014	87.21000000000004	86.65000000000009	85.75	84.69000000000005	84.04000000000019	82.6400000000001	NA	NA	NA	NA	NA	NA
GB-13	Osmia	O. bicornis	female	Greifswald	weighing	control	C	10	1	2023-04-22	112	121.76999999999998	alive	emerged	adult	13.078473604206176	7.176011513432494	135.1099999999999	134.04999999999995	133.18999999999983	132.88999999999987	132.52999999999997	132.26999999999998	132.08999999999992	131.8699999999999	132.01999999999998	131.3599999999999	131.3699999999999	130.9599999999998	130.28999999999996	130.3699999999999	129.73000000000002	129.3699999999999	128.8699999999999	128.15999999999983	127.77999999999996	126.11999999999988	123.33999999999992	NA
GB-14	Osmia	O. bicornis	male	Greifswald	weighing	control	C	28	1	2023-04-13	103	76.75	alive	emerged	adult	11.227216313910333	5.969188835709054	83.61999999999989	82.28999999999996	81.87999999999988	81.4699999999998	81.26999999999998	81.13999999999987	80.88999999999987	80.83999999999992	80.98999999999978	80.48999999999978	80.57999999999993	80.98999999999978	79.98999999999978	79.71000000000004	79.59999999999991	79.53999999999996	79.44999999999982	78.80999999999995	78.55999999999995	77.38999999999987	NA	NA
GB-16	Osmia	O. bicornis	female	Greifswald	weighing	SSP5-8.5	F	12	1	2023-03-20	79	96.23000000000002	alive	emerged	adult	12.268619998371005	6.755169248456278	116.84999999999992	114.70000000000005	113.76999999999998	112.36999999999988	111.98000000000002	112	111.26999999999998	110.39999999999986	110.29999999999995	108.82999999999991	108.15000000000008	107.6099999999999	106.38999999999989	105.1099999999999	104.29999999999995	102.93999999999984	NA	NA	NA	NA	NA	NA
